name,slug,species,description,genetic_cultivation_description,references,hero_image_attribution,lab_data_attribution,thc_min,thc_max,cbd_min,cbd_max,featured_position,featured,avatar_image_url,hero_image_url,aliases,effects,flavors
Acapulco Gold,acapulco-gold,hybrid,"While its exact genetics remain a mystery, Acapulco Gold is a popular and historically significant sativa-leaning hybrid that thrives in outdoor grow environments and is indigenous to Acapulco, Mexico. As indoor cultivation becomes the go-to method for many growers, the original Acapulco Gold cultivar is considered to be a bit of a rarity within modern-day cannabis cultivation circles. 

Known to produce an energetic and cerebral high, a true Acapulco Gold plant is distinguishable by its sativa growth traits, yielding chunky colas that range from dark green to golden brown in color. Carrying an aroma that has been described as burnt toffee, Acapulco Gold is reported to produce an earthy, pungent taste upon consumption. 

Although the strain is best suited for outdoor growing conditions, cultivators should have less difficulty with the newer generation of Acapulco Gold seeds. Following a 60-to-70-day flowering period, one Acapulco Gold strain is reported to yield up to 500 grams per square meter indoors and, if properly harvested outdoors in the Northern Hemisphere by mid-October, up to 1 1/2 kilograms per plant.",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/643/avatar/original/1565129945-171013_52640_AcapulcoGold_SAF_1.jpg,https://images.weedmaps.com/strains/000/000/643/hero/original/1581016440-AcapulcoGold.jpg,[],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': 'b612923d-d473-4fe6-84af-9c1bc435e957', 'type': 'tag', 'name': 'Blueberry'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}, {'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}]"
AC/DC,ac-dc,hybrid,"ACDC is a phenotype of the high-CBD strain Cannatonic (also known as the CBD Queen) that was selected by Dr. William Courtney after receiving a packet of seeds from its original breeder, Spain-based Resin Seeds. 

The resulting ACDC, which is only available on the market as a clone, is exceptionally high in CBD, with a 20:1 CBD-to-THC ratio, according to testing from SC Labs. Resin Seeds describes the plant’s aroma as a mix of cherry, diesel, gas, and Mandarin peel. Myrcene is a dominant terpene in ACDC.

ACDC is a parent to several CBD-rich hybrids. Sin City Seeds offers four ACDC hybrids with varying CBD-to-THC ratios — Thunderstruck (an S1 hybrid of ACDC and ACDC), Treasure Island (Swiss Gold and ACDC), HarleSin (ACDC and Harlequin), and Incredible Power (OmRita, BluePower, and ACDC). 

Other notable hybrids include TOCI (ACDC and Xena), EMT (ACDC and Canna-Tsu) from Med Tree Seeds, Valhalla (ACDC and Sky Dragon) from Love Genetics, and CBD Rich Blessing from Bodhi Seeds. A hybrid of ACDC and a CBD-rich Good Medicine male, CBD Rich Blessing has, in turn, been used by its breeder to cultivate several other CBD-rich hybrids.

The strain reportedly grows to average height, producing thin leaves and medium yields of big, dewy buds. The strain grows best indoors and in warm environments. It’s reported to flower in 63-70 days, possibly longer in colder areas. ACDC can be finicky, so novice and intermediate growers with limited grow space may want to look elsewhere for a high-CBD plant. 

The ACDC clone typically produces short, bushy plants with thin leaves that tend to grow about four feet tall. An ACDC clone Harborside submitted for genetic testing by Phylos Bioscience showed moderate levels of genetic variation.",,"Resin Seeds, Phylos Bioscience, SC Labs, Harborside",,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/005/avatar/original/1548880346-171117_5566_ACDC.jpg,https://images.weedmaps.com/strains/000/000/005/hero/original/1581016589-ACDC.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '59421d5b-91e7-45ac-843a-551975f0ac6f', 'type': 'tag', 'name': 'Uplifted'}]","[{'id': '3a810517-86b4-4534-9e24-0f6d8d0ba6c0', 'type': 'tag', 'name': 'Blue Cheese'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': '4111e944-1514-4698-a9fa-924e55289ac3', 'type': 'tag', 'name': 'Honey'}]"
Ace of Spades,ace-of-spades,hybrid,"Ace of Spades is a sweet, tangy creation from the master breeder TGA Subcool, who crossed his Jack the Ripper with Black Cherry Soda to get a highly resinous indica-leaning strain. Carrying a taste and aroma of red fruits, lemon, and skunk, the plant may take on a violet or blue color during the late flowering stage.

According to the online seed bank Alchimia, which claims that the strain is now discontinued, Ace of Spades had tested for more than 22% THC and 0.9% THCV, which is a hard-to-source cannabinoid with a discrete set of beneficial effects than THC.

Ace of Spades grows to medium height and has a sturdy structure, reportedly responding well to the Sea of Green (SOG) method. The strain is said to deliver a large yield of heavy, highly resinous colas in an eight-week flowering cycle.",,TGA Genetics,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/882/avatar/original/1568158159-180221_46610_AceOfSpades_1.jpg,https://images.weedmaps.com/strains/000/000/882/hero/original/1585165675-AceofSpades_Strain_BR.jpg,[],"[{'id': '59421d5b-91e7-45ac-843a-551975f0ac6f', 'type': 'tag', 'name': 'Uplifted'}, {'id': 'd4aab54e-1407-4b4c-bc1a-13b6c01dbe62', 'type': 'tag', 'name': 'Tingly'}]","[{'id': '725787f5-ef95-4a71-9c39-cb5a345ff318', 'type': 'tag', 'name': 'Berry'}, {'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}]"
A-Dub,a-dub,hybrid,"A-Dub is said to be a potent strain with the legendary genetics of Sour Double, which is a cross of Sour Diesel and Sour Bubble, and Alien Dawg, a combination of Alien Technology and Chemdawg. According to several online sources, A-Dub has pale green buds covered with iconic red-orange hairs and glittery trichomes. It has a fruity, woody, spicy taste and strong sweet, earthy, sour aroma.

Growing notes online suggest that A-Dub grows easily inside or out, delivering high yields during an  eight-to-nine week flowering cycle. In 2014, High Times magazine named A-Dub the second-strongest strain on Earth, perhaps making it best left to experienced consumers.",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/974/avatar/original/1570145248-180201_6228_ADub_1.jpg,https://images.weedmaps.com/strains/000/000/974/hero/original/1585955901-ADub_Willard_Strain_BR.jpg,[],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': 'd81a933b-fce8-4b97-b393-13c95de15a7e', 'type': 'tag', 'name': 'Aroused'}]","[{'id': 'da04d5f5-0601-4ebc-a2ef-cd23a944c537', 'type': 'tag', 'name': 'Ammonia'}, {'id': 'd243ee93-f3c7-4a3f-8e97-e1118bc88192', 'type': 'tag', 'name': 'Skunk'}, {'id': 'ae83cca8-173f-4c2e-8739-5781e1f45847', 'type': 'tag', 'name': 'Pungent'}]"
Afghan Big Bud,afghan-big-bud,indica,"Afghan Big Bud is a strain of unconfirmed origin.
The top reported aromas of the Afghan Big Bud strain are vanilla, fruit, and berries. And it is said to taste like vanilla and sweet berries.","Afghan Big Bud is an indica-dominant strain that’s a cross between Afghani #1 and Big Bud. Afghan Big Bud produces short plants with thick leaves, thanks to its indica dominance. Afghan Big Bud has an average flowering time between 55 days and 65 days, and is known to produce medium yields in ideal conditions. The Afghan Big Bud strain is best grown indoors.
Afghan Big Bud is available in seeds.",,,,0.0,12.0,0.0,0.5,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,['Big Bud Afghani'],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': 'd81a933b-fce8-4b97-b393-13c95de15a7e', 'type': 'tag', 'name': 'Aroused'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]",[]
Afghan Diesel,afghan-diesel,sativa,"Afghan Diesel is a strain of unconfirmed origin though its lineage is Afghan.
The top reported aromas of the Afghan Diesel strain are tangy, fruity, and citrusy. And it is said to taste like spice, fruit, and diesel.","Afghan Diesel is a sativa-dominant strain that’s a cross between Sour Diesel and an Afghan indica. Afghan Diesel produces tall plants with slender leaves, thanks to its sativa dominance. Afghan Diesel has an average flowering time between 50 and 70 days and is known to produce medium-to-high yields in ideal conditions. The Afghan Diesel strain is best grown indoors.
Afghan Diesel is available as seeds. ",,,,7.0,20.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]",[]
Afghan Haze,afghan-haze,hybrid,"Afghan Haze is a creation of breeders Scott Blakey (a.k.a, Shantibaba) and the late Nevile Schoenmakers, and currently cultivated by Blakey’s Mr. Nice Seeds in Amsterdam. This hybrid strain was bred by crossing an Afghani landrace with pollen from a Haze male with Thai and Columbian origins. 

According to the breeder, Afghan Haze produces copious yields of light green flower with milky trichomes and amber-colored stigmas in a 70-day flowering period. Suitable for either indoor or outdoor grows, though preferably grown in a hydroponic or greenhouse setting, expert-level cultivators can expect harvests ranging between 350 to 450 grams per square meter indoors; or 350 to 450 grams, or 12 to 16 ounces, per plant outdoors.
  
Mr. Nice Seeds recommends Afghan Haze for medicinal use, noting that the strain tends to produce pain-relieving effects. Some users have reported a nutty, earthy aroma that translates into a flavor of herbaceous tea and skunk. One sample of Afghan Haze, analyzed by the cannabis testing laboratory Analytical 360, had a terpene profile with a heavy presence of alpha-pinene, limonene, and caryophyllene.",,Mr. Nice,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/697/avatar/original/1565825943-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/697/hero/original/1565825943-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': 'd81a933b-fce8-4b97-b393-13c95de15a7e', 'type': 'tag', 'name': 'Aroused'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}]","[{'id': 'd927fcde-b8ff-48d3-995f-c16cbdace3c1', 'type': 'tag', 'name': 'Chemical'}]"
Afghani,afghani,indica,"These landrace strains are thought to originate in the Mazar-i-Sharif region of Afghanistan. They’re commonly categorized as pure Indica landrace strains and are known for pungent, sweet smelling flowers. The plants have been used to create popular hybrid strains such as LA Confidential, Blueberry and Northern Lights. 
",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/007/avatar/original/1550014107-171201_52087_Afghani_1.jpg,https://images.weedmaps.com/strains/000/000/007/hero/original/1581016612-Afghani.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}, {'id': 'd81a933b-fce8-4b97-b393-13c95de15a7e', 'type': 'tag', 'name': 'Aroused'}]","[{'id': 'd2251529-4c0b-46c7-94c7-944f9c6eeeea', 'type': 'tag', 'name': 'Tropical'}, {'id': '15eaa9a0-5b9d-485a-bea3-c55b0705e693', 'type': 'tag', 'name': 'Apple'}, {'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}]"
Afghan Kush,afghan-kush,hybrid,"Afghan Kush is a landrace strain that originated in the Amu Darya River Valley, nestled on the border of Tajikistan and Uzbekistan. The cultivar grew in the wild for centuries and stabilized its genetic profile through continual natural selection. Considered by many breeders to be the backbone of today’s modern Indica strains, Afghan Kush is known for its sour aroma and reported relaxing, euphoric effects.

Breeders can grow Afghan Kush both indoors and outdoors, with a flowering period of 50-to-60 days, or in mid-October, depending on its environment. The plant grows short and stout, developing large, compact, dark-green buds. Highly resistant to most diseases and pests, Afghan Kush is known and loved for its plentiful yield.",,White Label Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/006/avatar/original/1561423414-171206_34177_AfghanKush_1.jpg,https://images.weedmaps.com/strains/000/000/006/hero/original/1561423414-171206_34177_AfghanKush_1.jpg,[],"[{'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '59421d5b-91e7-45ac-843a-551975f0ac6f', 'type': 'tag', 'name': 'Uplifted'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}]","[{'id': 'b612923d-d473-4fe6-84af-9c1bc435e957', 'type': 'tag', 'name': 'Blueberry'}, {'id': '736aad9c-4728-437d-b599-24d8a6c3fb9d', 'type': 'tag', 'name': 'Citrus'}, {'id': 'd927fcde-b8ff-48d3-995f-c16cbdace3c1', 'type': 'tag', 'name': 'Chemical'}]"
Afghan Skunk,afghan-skunk,hybrid,"Afghan Skunk, also known as Afghani Skunk, is an indica-leaning hybrid first crossed between an Afghan and Skunk #1 by the breeder Expert Seeds. Originally bred in the United States, the Afghan Skunk strain was relocated to the Netherlands in the 1980s to escape prohibition. 

The creators of Afghan Skunk describe the strain as having a spicy aroma and sweet, fruity taste. According to Expert Seeds, the effects of this strain border between relaxing indica-like effects and a heady sativa high that stems from its Skunk lineage. THC levels for Afghan Skunk typically average about 18%. 

Afghan Skunk is said to be a vigorous grower, but also relatively easy to control and maintain healthy vegetation. Following a 55-day flowering cycle, indoor Afghan Skunk can yield between 500 to 550 grams per square meter, while when grown outdoors it is harvested in September in the Northern Hemisphere and can produce an impressive 900 grams to 1 kilogram, or about 2 pounds, per plant. ",,Expert Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/635/avatar/original/1565113886-TheCloneBrothers_AfghanSkunk-2.jpg,https://images.weedmaps.com/strains/000/000/635/hero/original/1585678294-Afghan-Skunk_DL.jpg,[],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '532eb8d6-ccfa-4ca8-95f4-4b9386ee9575', 'type': 'tag', 'name': 'Hungry'}]","[{'id': 'd243ee93-f3c7-4a3f-8e97-e1118bc88192', 'type': 'tag', 'name': 'Skunk'}, {'id': '48938613-7e33-48ce-860d-a4edc7168fdf', 'type': 'tag', 'name': 'Woody'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}]"
Afgooey,afgooey,indica,"Afgooey, or Afgoo, is an infamous cultivar that goes by a whole host of similar names. Across of Afghan #1 and Maui Haze, the strain inherits an earthy, tropical flavor from its parentage. 

Afgooey averages around 16-20% THC and 15% CBD, according to Seedsman seed bank.","Afgooey grows short, thick plants with broad fan leaves. It flowers in seven weeks and thrives both inside and outdoors, especially in warm, semi-humid climates. Indoors, Seedsman seed bank recommends Sea of Green (SOG) or Screen of Green (ScrOG) to develop dense, trichome-covered buds and reach the potentially huge yields.", ,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/strains/000/000/991/hero/original/1585165875-Afgooey_Strains_BB.png,"['Afgoo', 'Afghan Goo']","[{'id': '8769e57c-6dac-42a8-9a67-36cca36cc0dc', 'type': 'tag', 'name': 'Giggly'}, {'id': '59421d5b-91e7-45ac-843a-551975f0ac6f', 'type': 'tag', 'name': 'Uplifted'}, {'id': 'd81a933b-fce8-4b97-b393-13c95de15a7e', 'type': 'tag', 'name': 'Aroused'}]","[{'id': 'cb4aa1bb-d8a1-413e-b083-08addbd0a631', 'type': 'tag', 'name': 'Pine'}, {'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}]"
Afwreck,afwreck,hybrid,"NorCal Farms crossed Afghani with Trainwreck to produce Afwreck, which Pacific Seed Bank says is a balanced hybrid boasting 18-22% THC and a herby aroma. Because of its reported mixture of uplifting and relaxed sensations, not causing paranoia or — on the other end of the spectrum — couch lock.
 
It can be grown indoors or outdoors, according to Pacific Seed Bank, and flowers in about nine weeks, or six to eight weeks if grown indoors. The seed bank says it produces a tingly body sensation and lends a clean feeling energy to either day or evening activities.",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/656/avatar/original/1565289399-180212F_40707_Afwreck_1.jpg,https://images.weedmaps.com/strains/000/000/656/hero/original/1565289399-180212F_40707_Afwreck_1.jpg,[],"[{'id': '8769e57c-6dac-42a8-9a67-36cca36cc0dc', 'type': 'tag', 'name': 'Giggly'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}]","[{'id': '15eaa9a0-5b9d-485a-bea3-c55b0705e693', 'type': 'tag', 'name': 'Apple'}, {'id': '43af30ae-0332-4b0d-8ec2-64d40fd590f5', 'type': 'tag', 'name': 'Apricot'}, {'id': 'ff3a794b-6074-40a3-9153-4265e19ce740', 'type': 'tag', 'name': 'Strawberry'}]"
Agent Tangie,agent-tangie,hybrid,"Agent Tangie is a sativa-dominant hybrid bred by crossing California Orange with Skunk.

Agent Tangie, developed by 3C Farms, offers a flavor of sweet orange with an edge of sour and an effect described as “cerebral.” The flowers develop a distinct orange coloring.",,3C Farms,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/765/avatar/original/1567120257-180301_40546_AgentTangie_1.jpg,https://images.weedmaps.com/strains/000/000/765/hero/original/1585166026-Agent_Tangie_Strains_BB.png,[],"[{'id': '8769e57c-6dac-42a8-9a67-36cca36cc0dc', 'type': 'tag', 'name': 'Giggly'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': '736aad9c-4728-437d-b599-24d8a6c3fb9d', 'type': 'tag', 'name': 'Citrus'}, {'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}]"
AK-47,ak-47,hybrid,"AK-47 is an F1 hybrid from Dutch seed bank Serious Seeds. Created in 1992, its exact lineage remains secret, but seed bank owner and breeder Simon says it’s roughly a 65:35 Sativa/Indica hybrid of Colombian, Mexican, Thai, and Afghani descent. 

Serious Seeds carries both regular and feminized AK-47 seeds and reports a strong, fruity scent from the strain, coupled with a powerful, long-lasting “Indica” high. 

AK-47 has won 16 awards, including 1st Hash at the Barcelona High Life Cup in 2005, 1st Sativa at the Toronto Treating Yourself Expo in 2011 and 3rd Hybrid at the 2011 High Times Cannabis Cup. ","Serious Seeds reports AK-47 grows to medium height with few leaves and produces fat, dense clusters of large, resin-frosty colas in a 56-63 day flowering period. Its THC content has been tested as high as 21.5%, and the strain reportedly emits a strong odor during growth. 

The breeder reports the strain is easy to grow, both indoors and out, responds well to hydroponic systems, and reaches maturity around October 15 under natural light. Feminized plants may require an extra week of flowering, and may grow shorter than non-feminized plants.
",Serious Seeds,,,13.0,20.0,0.0,1.0,2.0,True,https://images.weedmaps.com/strains/000/000/011/avatar/original/1548286834-170311F_44924_Ak47_1_TF.jpg,https://images.weedmaps.com/strains/000/000/011/hero/original/1581448919-Ak-74_DL.jpg,"['AK 47', 'AK47']","[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': 'da04d5f5-0601-4ebc-a2ef-cd23a944c537', 'type': 'tag', 'name': 'Ammonia'}, {'id': 'fef24c0b-58cb-49c1-b491-a3fe7c8ce4fd', 'type': 'tag', 'name': 'Chestnut'}, {'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}]"
AK-48,ak-48,sativa,"AK48 is a reinforced iteration of the infamous AK47 strain, a mix of mostly Sativa landrace strains from Colombia, Mexico, Thailand, and Afghanistan (the Indica in the mix) created by Nirvana Seeds While the plant curiously lacks astrong odor during its growth phase, finished buds have a floral, citrus scent and matching flavor. Lab tests clock its potency at more than 20% THC, according to Amsterdam Seed Center.

The breeder touts AK48 as a very fast grower, ready for harvest in as little as seven weeks —however, Nirvana Seeds also recommends a longer vegetative period to develop the taste. The seed bank says this cultivar is extremely forgiving, making it a great choice for new or experimental growers. AK48 produces short plants that develop conical deep green colas with pale green buds and few yellow-orange pistils. Breeder and seed bank both confirm AK48 produces very high yields.",,Nirvana Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/strains/000/000/992/hero/original/1585593117-Ak_48.png,[],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': '15eaa9a0-5b9d-485a-bea3-c55b0705e693', 'type': 'tag', 'name': 'Apple'}, {'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}]"
Alaskan Thunder Fuck,alaskan-thunder-fuck,hybrid,"Alaskan Thunder Fuck (ATF) was originally cultivated in Matanuska Valley, Alaska. Sources are conflicted about the genetic origin of this strain, but most seem to agree it began as a cross between Russian Ruderalls and an unknown type of Northern California Sativa, later to be crossed again with Afghani Landrace in the 1970s. 

The initial nose scent of this strain may be off-putting to some as its terpene profile is fairly unique. Mixing sweet fruitiness (banana and orange) with an earthy skunk (pine, diesel), this is a strain more suitable for a developed palate. Fans of Jack Herrer may enjoy the classic fresh lemony-pine notes of ATF.  

Because of its creativity-inducing effects, ATF is a great strain for those who wish to consume while still being able to concentrate. Too, many say this strain lacks the typical crash that comes with a potent sativa. Since ATF is known for its intensely cerebral head high, those prone to sensitivity may want to take a conservative first puff or two and see how it affects them. 

Fun fact: this strain shares the name of a popular drag queen known for her high-energy performances.","True to its name and heritage, ATF produces a better harvest when grown in an outdoor, colder climate. Growing outdoors produces tall plants that should be harvested by October. If grown outdoors, yields can be up to 32 oz per plant. If growing indoors, flowering occurs in 8-9 weeks.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/012/avatar/original/1563911227-180208_40024_ATF_SAF_1.jpg,https://images.weedmaps.com/strains/000/000/012/hero/original/1563911227-180208_40024_ATF_SAF_1.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}]","[{'id': '725787f5-ef95-4a71-9c39-cb5a345ff318', 'type': 'tag', 'name': 'Berry'}, {'id': '736aad9c-4728-437d-b599-24d8a6c3fb9d', 'type': 'tag', 'name': 'Citrus'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}]"
Albert Walker,albert-walker,hybrid,"Albert Walker is an indica-leaning strain made popular at Grateful Dead concerts during the 1980s and 1990s. Although the lineage and original breeder of this strain remain unknown, Albert Walker is thought to hail from the Pacific Northwest. 

Some sources believe that this strain descends from Afghani Skunk, which is supported by Albert Walker’s distinct aroma of sour lemon and skunk. Upon consumption of Albert Walker, a powerful flavor of lemon washes over consumers, leading to what is commonly described as relaxing and mood-elevating effects.

A clone-only strain that is relatively hard to find, Albert Walker is also said to be a difficult plant to grow, requiring heavy feeding but eventually leading to high yields. Following an eight-week flowering period, growers should expect to harvest high yields of airy, cone-shaped buds with amber-colored hairs and sandy trichomes.

Albert Walker, Albert Johnson Walker to be exact, is also the name of a Canadian man who assumed the identity of and murdered his English business partner Ronald Platt. Many movies and books were produced about Albert Walker’s criminal endeavors, but there is no proof the strain was actually named after him.",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/633/avatar/original/1565113551-180105F_47494_AlbertWalker_1.jpg,https://images.weedmaps.com/strains/000/000/633/hero/original/1585955951-AlbertWalker_Strain_BR.jpg,[],"[{'id': '8769e57c-6dac-42a8-9a67-36cca36cc0dc', 'type': 'tag', 'name': 'Giggly'}, {'id': '59421d5b-91e7-45ac-843a-551975f0ac6f', 'type': 'tag', 'name': 'Uplifted'}]","[{'id': '5b49a6d9-5389-4c59-ad6e-2ec0d22ead00', 'type': 'tag', 'name': 'Grape'}]"
Alexander the Grape,alexander-the-grape,hybrid,"Alexander the Grape is an indica-dominant strain from the Oregon Microgrowers Guild that develops a rich purple color on its flowers. A cross between Candyland and Mendo Purps, Alexander the Grape is overall a shorter and heartier plant with an aroma and flavor of grape candy.

Alexander the Grape has a flowering time of 50 to 55 days and develops heavy trichomes across its flowers.",,Oregon Microgrowers Guild,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/705/avatar/original/1565995349-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/705/hero/original/1565995349-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}]","[{'id': 'd2251529-4c0b-46c7-94c7-944f9c6eeeea', 'type': 'tag', 'name': 'Tropical'}]"
