Index,Strain,Type,Rating,Effects,Description,Flavors,Nearest
1826,Mr Nice,indica,3.18,"Relaxed,Happy,Hungry,Sleepy,Uplifted","Mr. Nice is a cross between the legendary G13 strain and the Hash Plant. Previously unavailable since the '80s, Sensi Seed Bank has put this strain on the market again. It's named in honor of Howard Marks, the Oxford graduate who became one of the biggest cannabis smugglers of our time. After his time in federal prison Howard released his autobiography entitled 'Mr. Nice'. This indica-dominant plant has extremely dense buds with a sweet smell. Mr. Nice will creep up and provide you with a strong, mellow high.","Earthy,Sweet,Woody","1826,1801,1935,678,1583,1514"
1827,Mountain Girl,hybrid,3.18,"Happy,Uplifted,Relaxed,Talkative,Creative","Mountain Girl by Pilot Farm is a sun-grown, high elevation strain rooted in native soil on a steep mountainside overlooking the Colestin valley in Southern Oregon. This cross of Willy’s Wonder, Granddaddy Purple, and White Widow is an uplifting strain that comes with insatiable appetite stimulation. Mountain Girl’s aroma is sweet and earthy with a skunky finish. This strain is good for improving mood and front-loading creativity, but mind your dosage, as the intense euphoria can be overwhelming for uninitiated consumers.","Earthy,Spicy/Herbal,Sage","1827,1023,1956,2045,1804,1459"
1828,Caramelicious,hybrid,3.18,"Focused,Happy,Relaxed,Euphoric,Creative","Caramelicious is a hybrid cannabis variety that has sticky buds and a caramel flavor. A favorite after dinner smoke for some, provides a sweet taste and happy high.","Vanilla,Sweet,Coffee","1828,1835,1339,1757,772,951"
1829,Gas Mask,indica,3.18,"Sleepy,Tingly,Euphoric,Relaxed","Gas Mask by Pacific NW Roots is a funky strain with an aroma so pungent, you might need a gas mask. Created by backcrossing a Cherry Pie and Alien Kush F2 hybrid, Gas Mask reeks of fuel with a distant note of overripe citrus. This strain was created through a collaboration with Exotic Genetix, a Pacific Northwest mainstay. Gasmask has an 8 to 9 week flowering period and a medium-sized yield for attentive growers. This pungent phenotype is known for its strong, long-lasting high, so mind your dosage. Anticipate a heavy, mind-numbing cerebral sensation that evaporates stress as it sinks into the limbs.","Diesel,Pungent,Chemical","1829,861,322,701,1834,1974"
1830,White Lotus,hybrid,3.18,"Relaxed,Euphoric,Focused,Happy,Sleepy","White Lotus by Bodhi Seed gets its frosting of trichomes from its mother, The White, while the father, Snow Lotus, works to increase size, cannabinoid profile, and overall potency of this strain. The tart, citrus aroma and flavors of lemon and hash draw you in while the relaxing indica effects will help to curb bouts of depression and insomnia.","Earthy,Citrus,Sweet","1830,584,1522,1528,589,2044"
1831,White Dawg,hybrid,3.18,"Relaxed,Uplifted,Happy,Giggly,Hungry",Parents are The White and Chem Dawg. Took 2nd in the Hybrid Cup of the Denver Medical Cannabis Cup.,"Earthy,Woody,Spicy/Herbal","1831,1297,1363,1246,1871,530"
1832,Sage N Sour,sativa,3.18,"Energetic,Happy,Uplifted,Euphoric,Relaxed","Sage N Sour by T.H. Seeds is a 75% sativa strain that unites the sharply pungent Sour Diesel with their SAGE hybrid. With an aroma that closely matches the subtle herbal notes of sage, Sage N Sour delivers a perfect balance of euphoria, energy, and happiness to its consumer. Growers will appreciate the generous yields this sativa has to offer following its 60 to 65 day flowering cycle.","Sage,Earthy,Spicy/Herbal","1832,1071,2037,2125,216,1049"
1833,Martian Mean Green,hybrid,3.18,"Euphoric,Happy,Hungry,Uplifted,Focused","A combination of Sharksbreath and G13 Haze, Martian Mean Green (type C) is one of DNA Genetics' flagship strains. With its super pungent aroma and consciousness-altering effects, consumers might wonder if this herb came from outer space. Martian Mean Green is a sativa-dominant hybrid that can be helpful for relieving stress.","Sweet,Citrus,Grapefruit","1833,874,1438,1682,528,188"
1834,Cherry Pie Kush,hybrid,3.18,"Happy,Relaxed,Euphoric,Giggly,Sleepy","Cherry Pie Kush (not to be confused with Cherry Pie) is essentially a Cherry Pie cross of Durban Poison and Granddaddy Purple, infused with the California native, San Fernando Valley OG. Some folks claim this strain came before Cherry Pie and others say it’s a product of Cookie Fam’s famous hybrid lineage. With bright cerebral effects that stilt the heavy weight on the limbs, this strain functions as medical-grade all-day flower, soothing physical discomfort without being overly sedative. Expect earthy and tart notes that linger in the air and coat the palate in a pungent, velvety vapor.","Lavender,Berry,Sweet","1834,1338,701,66,1559,550"
1835,Blueberry Haze,hybrid,3.18,"Happy,Euphoric,Creative,Uplifted,Energetic","A hybrid cross of Blueberry and Haze, provides a sweet smoke and pleasant high. Pace yourself with this one, overdoing it can send you to dreamland.","Blueberry,Berry,Sweet","1835,1188,1454,1828,1552,1646"
1836,Purple Afghani,indica,3.18,"Relaxed,Uplifted,Sleepy,Happy,Euphoric",A strong plant that is easy to grow. This Afghani is a mostly Indica inbred to produce thick and heavy buds. This variety has dark green leaves and calyxes that turn purple at flowering. Medium-high leaf to flower ratio with a subtle aroma and a very good high.,"Earthy,Sweet,Berry","1836,1941,1782,2114,1472,1062"
1837,Flo,hybrid,3.18,"Happy,Uplifted,Relaxed,Creative,Focused","This #1 rated Cannabis Cup winner of 1996 is the love child of Purple Thai and an Afghani Indica, bred by Dutch Passion and later propagated by DJ Short. The plant is described as having pear-shaped buds with purple calyxes. Flo can potentially be harvested multiple times, creating a 'flo' of buds. The effects are characterized as light and energetic, allowing for clarity of thought.","Sweet,Earthy,Flowery","1837,341,348,544,1479,1703"
1838,Cherry Kush,hybrid,3.18,"Relaxed,Uplifted,Euphoric,Happy,Creative","A cross between Purple Afghani and OG Kush, Cherry Kush is a very potent indica-dominant hybrid that has become very popular with medical patients in the SF Bay Area. Sometimes called Cherry Pie, these flowers range from a bright, vibrant green to a darker, purple-tinged red color, and boast a dense coating of trichomes. The flavor is reminiscent of cherries with a woody, hashy undertone, and the high starts out as stimulating and cerebral before fading into a deep feeling of relaxation.","Sweet,Berry,Earthy","1838,1834,66,705,1338,1102"
1839,Permafrost,hybrid,3.18,"Focused,Happy,Relaxed,Talkative,Euphoric","Permafrost, bred by Rogue Buds, is a sativa-dominant hybrid named for its frosty coat of crystal trichomes and fresh pine aroma. While some believe Permafrost to be the love child of Trainwreck and White Widow, others claim it comes from Kali Mist and Trinity Snow. True to its hybrid genetics, Permafrost’s relaxing effects are balanced between mind and body. Larger doses demonstrate the strain’s potency: as sensory detail peaks, attention becomes transfixed, and a full-body calm takes over. For this reason, Permafrost may help patients treating ADD/ADHD and anxiety symptoms, and others have reported its success in treating arthritis, asthma, multiple sclerosis, and gastrointestinal disorders.","Woody,Earthy,Pine","1839,239,2049,1965,703,328"
1840,Pineapple,hybrid,3.18,"Happy,Uplifted,Euphoric,Relaxed,Energetic","Pineapple was developed by selecting a phenotype of Ed Rosenthal’s Super Bud (ERSB) that expressed predominantly indica traits and had intense tropical flavors. After generations of inbreeding, the strain developed a sturdy structure and more pronounced flavors of pineapple and diesel. The buds take on a bulbous shape that, in a way, resemble the fruit. A perfect strain for stress relief, Pineapple will transport you to your happy place, leaving you uplifted and relaxed.","Pineapple,Tropical,Sweet","1840,492,196,1009,669,13"
1841,Pineapple Dog Shit,hybrid,3.18,"Uplifted,Euphoric,Energetic,Focused,Happy","Pineapple Dog Shit is a hybrid strain that may not sound appetizing, but its elite parentage of Pineapple Punch and Chemdawg 4 is enough to draw connoisseurs of old school genetics. Its name is derived from its sour, tar-like aroma that could arguably be compared to canine byproduct, but one look at this hybrid’s knobby, dense, crystal-covered buds may convince you to push past its unconventional aroma. For those of you less interested in the novelty of Pineapple Dog Shit, we reassure you: the taste is a more pleasant blend of sweet tropical and citrus flavors.","Pineapple,Sweet,Earthy","1841,381,1546,2039,492,1845"
1842,Cherry Og,hybrid,3.18,"Euphoric,Relaxed,Happy,Uplifted,Hungry","Cherry OG by Emerald Triangle Seeds is a hybrid cannabis strain bred by combining Cherry Thai, Afghani, and Lost Coast OG genetics. A 50/50 hybrid, Cherry OG truly brings you the best of both sativa and indica worlds as it delivers full-body euphoria alongside high-flying cerebral lucidity. While its name sets expectations of a fruity cherry aroma, this strain can sometimes express more sour and diesel-like flavors.","Berry,Diesel,Sweet","1842,517,1359,605,1102,1674"
1843,Pineapple Haze,sativa,3.18,"Relaxed,Euphoric,Happy,Uplifted,Energetic","Pineapple Haze combines the tropical aroma of Pineapple with the racing cerebral energy of Haze, creating a mostly sativa strain with equally enticing flavors and effects. Its tall plants bloom with large colas that look and smell much like pineapples. The Haze influence leads the charge when it comes to Pineapple Haze’s effects, lending a creative and energetic spark that can be harnessed day or night.","Pineapple,Citrus,Tropical","1843,13,492,669,1845,1009"
1844,Black Magic Kush,indica,3.18,"Happy,Relaxed,Sleepy,Hungry,Talkative","Black Magic Kush (also known simply as Black Magic) is an indica-dominant strain with mysterious and arcane genetics. With jade green foliage and bright orange pistils, Black Magic Kush looks nearly as good as it tastes. Exhibiting a terpene profile soaked in sweetness, berry, and herbaceous overtones, Black Magic Kush delivers a pleasurable variety of flavors, aromas, and effects that help nullify stress and encourage rest. Utilize this strain at the end of the day to make the most of its sleep-inducing qualities.","Earthy,Berry,Woody","1844,2018,1862,707,795,716"
1845,Pineapple Kush,hybrid,3.18,"Happy,Uplifted,Euphoric,Giggly,Relaxed","Pineapple Kush marijuana strain has an aroma of pineapple with accents of caramel and butter. The flavor is described as a subtle sweet pineapple taste with a mint undertone. While the breeder of this strain is unknown, its parents are Pineapple and Master Kush. The buds are brown/green in color and covered with amber crystals. With a THC content of up to 15% and CBD of 0.14%, the buzz is commonly described as cerebral, with a light body sensation.","Pineapple,Sweet,Tropical","1845,13,1315,1182,903,198"
1846,Fire Haze,sativa,3.18,"Euphoric,Focused,Happy,Relaxed,Uplifted","Fire Haze is a true sativa. Great for consumers who suffer from stress, anxiety, and headaches, this strain is mentally stimulating and upbeat. The effects of Fire Haze are felt most strongly in the head, providing consumers with focus and tension reduction in both the head and neck. Sociable and energizing, Fire Haze is a great daytime strain. It features a strong herbal scent and a musky, nutty taste. This may not be a good strain for those who suffer from acute pain, as it does not provide the same muscle-relaxing sensations that are found in indicas.","Sweet,Berry,Earthy","1846,1775,1137,1052,1406,382"
1847,Double Diesel,sativa,3.18,"Creative,Happy,Focused,Energetic,Euphoric","Double Diesel is the sativa-dominant result of a cross between award-winning NYC Diesel and Sour Diesel. These plants are easy to grow and their lime green buds will give off a strong diesel-y odor with some grapefruit added in. The grapefruit notes overpower the taste, giving this strain a unique musky fruit flavor. Its effects are happy and uplifting, but not usually as energetic as some other sativas. Overall, it’s a good choice for a laid-back medicated time.","Diesel,Lime,Citrus","1847,1685,1795,1816,262,1762"
1848,Power Plant,sativa,3.18,"Happy,Uplifted,Euphoric,Energetic,Talkative","Power Plant comes from Dutch Passion Seed Company and is derived from powerful South African sativa strains. Thanks to this, these plants have a fast growing time compared to most sativas and will produce either many medium-sized flowers or a few very large buds with smaller “popcorn” buds between 7 and 9 weeks. These plants are troopers and will do well in almost any grow environment, but its woody, earthy scent is pungent, so indoor growers will have to prepare. Power Plant has a sharp, peppery taste. While many sativas are good choices for a clear-headed buzz, this plant’s high THC content makes it powerful. It makes some users happy and creative, though effects may verge on too intoxicating for some.","Earthy,Pungent,Woody","1848,1162,1613,491,2140,1564"
1849,Blackberry,hybrid,3.18,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Blackberry is a popular strain known for its balance of an active sativa buzz and the high yields of plants due to its indica side. It was bred in 2009 by Dutch company Nirvana Seeds as a cross between a Black Domina clone from the U.S and their own Raspberry Cough. Flowering happens between 9 and 11 weeks and plants will have a tight leaf structure and frosty buds. Indoor growing is recommended, but be warned, Blackberry plants are pungent. This strain has strong smoke that can have a fuel smell, but it is dominantly fruity.","Berry,Sweet,Earthy","1849,1141,1416,1144,1621,1446"
1850,Love Potion 9,indica,3.18,"Euphoric,Happy,Talkative,Focused,Energetic","Love Potion #9 is an indica-dominant strain with a sweet, fruity flavor and potent effects best suited for evening use.","Sweet,Flowery,Honey","1850,1968,685,1411,2082,1314"
1851,Skunky Diesel,hybrid,3.18,"Happy,Uplifted,Energetic,Relaxed,Sleepy",Skunky Diesel is a nice indica-dominant strain that is a cross of Sensi Skunk with NYC Diesel. A nice relaxing high that you will feel in your face pretty quickly. She definitely carries the diesel taste and lovely diesel effects.,"Skunk,Diesel,Earthy","1851,262,1762,1901,264,1685"
1852,Pot Of Gold,indica,3.18,"Relaxed,Happy,Creative,Focused,Sleepy","Pot of Gold comes from Dutch seed bank Flying Dutchmen and won 2nd prize at the 2003 Cannabis Cup. Its seeds produce massive yields of very sticky buds that are hard to break up by hand. It has a refined sweet, fruity hashish taste and an extremely potent physical effect.","Skunk,Sweet,Earthy","1852,2030,212,2042,158,1270"
1853,Popcorn Kush,indica,3.18,"Relaxed,Sleepy,Happy,Hungry,Giggly","One of the lesser-known strains, many misassociate this indica-dominant hybrid with the “popcorn buds” used to describe poorer quality cannabis harvested towards the bottom of the plant. Popcorn Kush, however, is a strong strain packed into small, dense buds that resemble and taste like popcorn. Consumers rave about its potency and small body, which contradicts the large, bushy flower appearance typically analogous with high-quality cannabis. While this indica possesses some serious horsepower, its delivery is short and quick, preferential for new and experienced cannabis consumer alike.","Butter,Sweet,Earthy","1853,1949,1848,1339,2014,1604"
1854,Chocolate Chunk,indica,3.18,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Chocolate Chunk by T.H. Seeds is a pure indica that will meld you with the couch. Very fast flowering of 55 days, great for sea-of-green growing method.","Sweet,Woody,Earthy","1854,1906,1432,903,1969,15"
1855,Yumboldt,indica,3.18,"Relaxed,Happy,Sleepy,Euphoric,Hungry",Yumboldt can be hard to find but it is renowned for its potency. Yumboldt is great at making you sleepy and content.,"Spicy/Herbal,Earthy,Sweet","1855,513,1000,1239,231,659"
1856,Double Barrel Og,hybrid,3.18,"Relaxed,Euphoric,Hungry,Sleepy,Uplifted","Double Barrel OG offers a double shot of OG genetics as this hybrid combines White Fire OG with Raskal’s OG Kush. Its dense, resin-packed buds give rise to flavors both sweet and sour, a pungent fusion of sweet lemons and fuel-drenched pine. This hybrid travels straight to the head, launching you into thick euphoric lucidity that lets you forget any heaviness in mind or body. As the acute effects settle, Double Barrel OG eases you into a motivated and functional buzz perfect for afternoon productivity.","Earthy,Citrus","1856,572,704,5,605,197"
1857,Yummy,hybrid,3.18,"Uplifted,Relaxed,Happy,Energetic,Euphoric","Yummy is an indica-dominant hybrid that hails from Northern California where it was bred by combining Granddaddy Kush and White Dawg genetics. Its potent effects settle heavily throughout the body, and while your mind may feel relaxed, it won’t necessarily feel asleep. However, this strain is better paired with calm, meditative activities than focused, cognitive tasks as Yummy tends to blanket thoughts in a foggy tranquility. This high-THC strain can provide relief to a variety of symptoms and conditions including pain, insomnia, nausea, depression, and appetite loss.","Sweet,Earthy,Pungent","1857,1021,334,1038,1334,1534"
1858,303 Og,indica,3.18,"Relaxed,Happy,Euphoric,Uplifted,Giggly","The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.","Citrus,Pungent,Earthy","1858,497,71,1772,1522,1538"
1859,Sleeskunk,sativa,3.18,"Creative,Euphoric,Tingly,Uplifted,Energetic","SleeSkunk is a hybrid bred by DNA Genetics that crosses SleeStack with Skunk #1. The result is a resinous, sativa-dominant cross that produces clear, uplifting effects focused in the head. Many appreciate SleeSkunk for its skunky, citrus flavors, and prefer it for daytime use.","Skunk,Pine,Pungent","1859,745,241,1617,783,1364"
1860,13 Dawgs,hybrid,3.18,"Tingly,Creative,Hungry,Relaxed,Uplifted","13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.","Apricot,Citrus,Grapefruit","1860,1016,315,1657,142,1580"
1861,Fast Eddy,hybrid,3.18,"Sleepy,Happy,Relaxed,Creative,Euphoric","Fast Eddy by Royal Queen Seeds is a balanced, CBD-rich strain with functional effects and connoisseur quality. With a palate of citrus and skunk, and an aroma to match, Fast Eddy emits a terpene profile that is bright, herbaceous, and flavorful. Created by crossbreeding the famous genetics of Juanita La Lagrimosa and Cheese, Fast Eddy mellows pain and stress while remaining mentally and physically functional.","Citrus,Pungent,Skunk","1861,714,1919,901,351,712"
1862,Magic Beans Og,indica,3.18,"Happy,Sleepy,Euphoric,Relaxed,Tingly","Magic Beans OG is a sticky indica strain with heavy, relaxing effects. Known for its weighted sensation on the body and earthy, sweet aroma, Magic Beans OG is a soothing strain with a gentle, herbaceous palate. Enjoy this indica to combat insomnia, stimulate appetite, and to help manage pain. Magic Beans OG’s sedative qualities make it a perfect nightcap and a must-have for indica enthusiasts.","Lemon,Woody,Pine","1862,1844,2018,707,711,1690"
1863,Flaming Cookies,indica,3.18,"Happy,Relaxed,Euphoric,Tingly,Sleepy","Girl Scout Cookies and Fire OG combine to create Flaming Cookies, a potent indica strain that delivers a thick fog of cerebral euphoria. Woody, earthy, and diesel flavors give away this strain’s OG lineage, with an added hint of minty eucalyptus. Scorching orange hairs burst from this indica’s dark buds, giving the flowers themselves an almost fire-like appearance.","Spicy/Herbal,Sweet,Diesel","1863,566,730,848,705,525"
1864,Purple Arrow,hybrid,3.18,"Happy,Uplifted,Focused,Energetic,Relaxed","When it comes to knocking out pain, no medical strain hits the target quite like Purple Arrow. This hybrid provides effective relief for severe pain while simultaneously inducing a sense of uplift and euphoria. Extremely well-rounded, Purple Arrow is potent without causing that over-medicated feeling of some pain relief strains. The uniqueness of this strain is complemented by its earthy aroma. Fragrant, herbal, and a little sweet, this strain tastes almost as good as it feels. When you need immediate relief and would like to stay off the couch, Purple Arrow is a fantastic choice.","Sweet,Citrus,Earthy","1864,1375,895,1396,1222,946"
1865,Blackberry Dream,hybrid,3.18,"Happy,Energetic,Uplifted,Relaxed,Talkative","Blackberry Dream y Elev8 Seeds is a fruity hybrid cross that might surprise you. Not to be confused with the many Blue Dream “Dream” crosses out there, Blackberry Dream is the offspring of Kimbo Kush and Super Silver Haze. This generous plant produces a massive yield of glittering emerald-colored buds that reek of jam and spice. The strain flowers over 9-10 weeks and generally benefits from a little extra time on the stalk. Mind your dosage while enjoying this strain. The hybrid genetics begin with a heady sativa-dominant bent, but can get heavier on the body with continued consumption.","Spicy/Herbal,Sweet,Grapefruit","1865,1406,1273,1468,1133,542"
1866,White Cheese,hybrid,3.18,"Relaxed,Creative,Talkative,Happy,Euphoric","White Cheese from Zambeza Seeds is an indica-dominant hybrid that crosses Super Skunk and Afghani genetics. It carries the skunky cheese aroma with an earthy note and provides relaxing indica effects without being a total knock-out. Its euphoric buzz keeps away stress and anxiety. The short flowering cycle, compact nature, and large yields make White Cheese especially attractive to growers.","Cheese,Pungent,Flowery","1866,834,1232,1746,1681,1028"
1867,Blueberry Diesel,hybrid,3.18,"Uplifted,Happy,Euphoric,Relaxed,Focused","Blueberry Diesel is a cross of two favorite strains, Blueberry and Sour Diesel. It is probably best known for its strong blueberry smell with hints of fuel from its Diesel lineage. Blueberry also overwhelms the flavor of these sticky flowers, which should have plenty of trichomes and long orange hairs. Effects tend to be happy and relaxing but not too overwhelming, making this a popular choice for many kinds of patients.","Blueberry,Diesel,Sweet","1867,1187,499,1369,264,2143"
1868,Shaman,sativa,3.18,"Uplifted,Focused,Happy,Energetic,Euphoric","Shaman is a sativa-dominant strain bred from Purple #1 and Skunk. This stinky, uplifting strain, originally crafted by Dutch Passion, is a welcome compliment to patients seeking assistance with depression, anxiety, and chronic pain. Some also experience moderate psychedelic effects at higher dosages, speaking to the strong heady effects inherent in this stimulating genetic cross.","Sweet,Lemon,Flowery","1868,1622,1982,503,2076,1502"
1869,Burmese Kush,hybrid,3.18,"Uplifted,Relaxed,Happy,Euphoric,Creative","This hybrid strain is almost half sativa and tends to give users a calm, mellow outlook. Bred by T.H. Seeds as a cross that includes the California classic, OG Kush, this plant will be dark green and have a piney aroma with a sweet aftertaste. Growth can be slow to start so Burmese Kush is best for indoor conditions where growth speeds up and plants flower in 7-8 weeks. The effects also tend to come on slowly but can be strong and long-lasting once they do.","Earthy,Pine,Pungent","1869,1306,1416,1587,441,1550"
1870,Shark Attack,indica,3.18,"Relaxed,Tingly,Happy,Focused,Hungry","A 70/30 indica-dominant hybrid from Dinafem Seeds, Shark Attack is a cross of Super Skunk and White Widow. Though it produces relatively modest levels of THC (12-16%) and significant amounts of CBD, the high is powerfully relaxing and long lasting, and can offer relief from aches and pain. Shark Attack produces a very strong odor of earthy hash with floral and lemon undertones, and tastes much like it smells. Because it is compact, easy to grow, and high yielding, as well as being suitable for indoor, outdoor, or greenhouse cultivation, Shark Attack is fast becoming one of the more popular hybrids available in feminized seed form.","Earthy,Pungent,Skunk","1870,1926,1627,2055,1871,1686"
1871,Shark Shock,indica,3.18,"Relaxed,Euphoric,Focused,Happy,Tingly",Shark Shock's origin is White Widow crossed with Skunk #1. Has a fruity taste and carries intense stoney effects. The plant will grow into a densely compacted white skunk with extreme aromas.,"Earthy,Woody,Spicy/Herbal","1871,1413,1688,1831,1471,1435"
1872,Buffalo Bill,sativa,3.18,"Relaxed,Uplifted,Tingly,Euphoric,Happy","Buffalo Bill is a sativa-dominant cross between Willie’s Wonder and Killer Ken bred by New House Seeds and grown by Doc and Yeti’s in Washington state. A blanket of crystal resin envelops the dense buds, almost hiding its interweaving green and lavender hues. Though 70% sativa by genetics, Buffalo Bill can hit with a force that leaves you anchored to your seat while the mind freely roams blissful euphoria. A sweet, earthy pine aroma floats from its kief-caked jar, sending your senses straight to a wintery tundra.","Earthy,Woody,Pine","1872,1036,498,883,751,1271"
1873,Purple Bud,indica,3.18,"Relaxed,Happy,Sleepy,Euphoric,Creative","From Sensi Seeds comes the purple-blossomed indica Purple Bud, appropriately named for its bright hues of lavender. A descendant of Afghani indicas, this colorful plant offers large harvests of sparkling buds that carry the sweet and piney aroma of sandalwood. A distant sativa relative from Jamaica gives this strain a little added height and cerebral invigoration, but Purple Bud’s effects generally fall heavy on both mind and body. After crossing the Afghani indicas with a Jamaican sativa, Sensi Seeds added genetics from a Dutch Hindu Kush and a California Purple Kush.","Lavender,Sweet,Pine","1873,747,1898,1620,555,567"
1874,Mako Haze,sativa,3.18,"Euphoric,Happy,Relaxed,Hungry,Uplifted","Mako Haze is named after the shark that has a reputation for speed and power, and the strain has the same reputation for its effects that come on quickly. This 75% sativa strain was created by Kiwiseeds and quickly became popular in the company’s native Amsterdam for its smooth smoke and energetic effects. It has also earned recognition in the U.S. as the 1st Prize winner in the sativa category at the 2006 High Times Cannabis Cup. Mako Haze is the product of breeding Haze with Kiwi Green. Like many fellow sativas, it’s a slow grower, flowering at 10-13 weeks, but produces a high yield of buds covered in sticky THC crystals. Testing has placed this strain’s THC content at over 19%.","Pine,Citrus,Earthy","1874,1312,890,1451,1208,1412"
1875,Shiva Skunk,indica,3.18,"Euphoric,Relaxed,Uplifted,Happy,Tingly","Shiva Skunk by Sensi Seeds is among the most powerful varieties in the Skunk family, crossing the famous Skunk #1 with the resinous and hardy Northern Lights #5. This potent indica inherits the sweet, pungent aroma typical of Skunk varieties and the high-yielding potential of its Northern Lights mother. Its effects tend toward the lazy side of the spectrum, so evening use is recommended.","Skunk,Earthy,Pine","1875,1195,1234,1435,1980,1932"
1876,Papaya,indica,3.18,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Papaya is an indica-dominant hybrid cannabis strain that is known for producing effects that might be more in line with a traditional sativa. The indica element of this strain does provide a mental calmness, but many consumers also find that this strain makes them energetic and productive. Nirvana Seeds bred this to be their take on a Mango strain and crossed Citral #13 with Ice #2 to make their own fruit. They met their own challenge and Papaya smells uncannily like its namesake. The taste is similar to its tropical fruit counterpart, but a spicy, peppery side also becomes apparent. The plants stay fairly short and thin, producing lots of fluffy buds with papaya-orange hairs in 8 or 9 weeks.","Tropical,Sweet,Tree,Fruit","1876,1928,223,1782,456,230"
1877,Cali Kush,hybrid,3.18,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Cali Kush must have been a no-brainer when it came time to name this strain given the popularity of Kush varieties in The Golden State. Its buds are large and dense with few leaves and not many pistils. The flowers will be light green shot through with icy blue and packed with trichomes throughout. Cali Kush buds have a fruity citrus aroma with the darker coffee notes of a kush. Spicier tones and the coffee kushness are more apparent in the taste. The indica-dominant variation of this hybrid has been more popular, but a sativa-dominant version has also been spotted.","Earthy,Woody,Sweet","1877,1791,1676,729,1725,1565"
1878,Silver Haze,sativa,3.18,"Happy,Euphoric,Relaxed,Talkative,Uplifted","Silver Haze was the first seed strain to deliver the full-strength Haze experience in a fatter, faster, more compact form. Crossing Haze with a non-dominant indica Northern Lights, Silver Haze maintains strong but clear-headed sativa effects. Introduced by Sensi Seeds, the Silver Haze gets its name from the massive amount of shiny THC glands covering the buds.","Earthy,Sweet,Pungent","1878,798,492,581,641,1808"
1879,Whitaker Blues,indica,3.18,"Relaxed,Sleepy,Happy,Uplifted,Euphoric","Whitaker Blues is a classic indica-dominant strain that blends genetics from Quimby (a West Coast indica) and Blueberry. Breeder DJ Short is famous for his Blueberry line, but this strain was actually developed by his son, JD. A true indica in appearance and effect, Whitaker Blues grows into stout bushy plants and delivers a sedating stone that leaves you feeling heavy with dreamy bliss. Its flavors can span the entire spectrum of sweetness, so you may find yourself detecting anything from floral vanilla to fruity citrus. Whitaker Blues’ effects are initially enlivening but taper down into a deep transcendental calm conducive for meditation or lazy days.","Sweet,Apple,Pear","1879,1481,1336,1273,1567,178"
1880,Industrial Plant,hybrid,2.95,"Energetic,Uplifted,Euphoric,Happy,Relaxed","Industrial Plant was one of the first strains of cannabis to be developed to thrive under the artificial lights of indoor gardens. Its stable genetics and large yields have made it an exceptional commercial Dutch strain. To produce this hybrid Dinafem Seeds crossed Afghani with Thai genetics. The result is a skunky, citrus aroma with hints of wood and spice that sweeten to fruity hints of bubblegum when ground into shake. The effects of Industrial Plant are balanced and uplifting, and while not overpowering, they do provide a sense of peaceful relaxation that won’t completely kill your motivation.","Citrus,Spicy/Herbal,Sweet","1880,410,309,978,955,443"
1881,Tangerine Kush,indica,2.95,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Tangerine Kush embodies the California sunshine. This cannabis strain got its name for both its citrusy flavor and its halo of bright orange hairs covering the bud. While the effects of this indica are particularly short-lasting, Tangerine Kush is potent with a quick onset. Providing consumers with a happy, body-heavy sensation, this strain is great for those looking for a lazy day at the beach. Tangerine Kush’s effects are felt more in the head than many other indicas. Upon first taste, consumers may feel uplifted and energized. After a few minutes, however, a heavy, lazy sensation kicks in. If you’re looking for a strain to help you relax, Tangerine Kush may be worth a try.","Citrus,Orange,Tropical","1881,30,1321,1339,1068,1225"
1882,Pineapple Trainwreck,hybrid,2.95,"Relaxed,Euphoric,Uplifted,Happy,Giggly","Bring together the popular clear-headed effects of Pineapple Express and the pain relief qualities of Trainwreck and you get this happy sativa. Pineapple Trainwreck has an earthy aroma and a fruity flavor that usually takes more after its pineapple parent. Long-lasting and potent, this strain hits hard at first, but mellows into a state where being sociable or getting things done is possible. The buzz tends to be more mellow than active, though, so don’t be surprised if verbal activity is all you get around to.","Pineapple,Pine,Woody","1882,1182,492,198,669,1315"
1883,Ice,hybrid,2.95,"Euphoric,Uplifted,Relaxed,Happy,Tingly","Nirvana Seeds really took their time with this indica/sativa hybrid, carefully selecting from thousands of plants before combining choice Skunk #1, Afghani, Northern Lights, and Shiva genetics into one potent seed line. Ice features copious yields of high density flowers with incredible trichome production. Some phenotypes will grow quite large, so growing indoors can be challenging. Most users report Ice as having a petrol aroma and a very heavy indica-type buzz, while some variations can present a more uplifting sativa-like effect.","Diesel,Flowery,Earthy","1883,1980,691,1932,1041,1875"
